Customer,Shopping,Travel,Utilities,Betting,Fashion,Education,Health,Investment,Power,Loan Seeking,Car Sales,Non-Interest,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Customer_Rating,State_Residence,Gender,Marital_Status,Age
Rt0d,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,HIGH,24,FEMALE,,34
67MH,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,MED,15,FEMALE,SINGLE,31
t23A,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,MED,8,FEMALE,PARTNER,28
8Evr,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,HIGH,4,FEMALE,,28
syg8,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,HIGH,30,MALE,,26
mgfW,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,LOW,4,MALE,,63
Putb,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,HIGH,5,FEMALE,,33
Q2NL,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,HIGH,18,MALE,,25
obwM,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,HIGH,24,MALE,,34
HaJE,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,HIGH,24,MALE,,26
tteo,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,MED,30,MALE,PARTNER,34
IHRe,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,MED,15,FEMALE,PARTNER,29
mqmD,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,HIGH,24,MALE,,31
9VZX,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,HIGH,24,MALE,,30
BgXR,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,MED,15,MALE,,38
kySy,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,HIGH,12,MALE,,28
GzJR,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,LOW,32,FEMALE,,47
WX1G,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,MED,15,FEMALE,,35
aywV,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,MED,15,MALE,PARTNER,31
p6f6,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,LOW,21,FEMALE,PARTNER,24
14tb,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,LOW,21,MALE,,30
Gr9A,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,MED,15,FEMALE,,30
jQvh,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,HIGH,24,MALE,,26
janK,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,MED,15,MALE,,32
lDYm,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,HIGH,22,MALE,,37
WTq1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,HIGH,24,MALE,,33
PGob,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,MED,24,MALE,,36
T4aL,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,HIGH,17,MALE,,49
1S1E,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,LOW,22,MALE,,26
5uHs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,LOW,12,MALE,,27
I7aj,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,HIGH,4,MALE,PARTNER,29
WwS8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,MED,15,FEMALE,,32
NW3c,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,MED,8,MALE,,32
7RJR,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,MED,15,MALE,,28
nc7l,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,LOW,15,MALE,,37
woqC,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,LOW,17,MALE,PARTNER,31
tMts,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MED,24,FEMALE,,28
Yn7F,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,LOW,7,MALE,,27
W44a,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,MED,15,MALE,PARTNER,34
vPeP,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,LOW,8,MALE,,32
s54I,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,HIGH,24,MALE,,27
7Kb9,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,HIGH,15,MALE,,28
vkTQ,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,MED,17,FEMALE,,32
vSiD,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,LOW,15,MALE,,33
cdwH,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,HIGH,8,FEMALE,,34
JMYO,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,MED,15,MALE,PARTNER,38
2T1h,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,HIGH,24,MALE,,27
NXN0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,LOW,14,MALE,,21
58hL,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,MED,15,MALE,,42
2CIN,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,MED,15,FEMALE,,30
5yny,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,MED,8,MALE,,34
4MiR,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,MED,25,MALE,,38
CvoO,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,MED,15,MALE,SINGLE,37
4E8E,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,MED,15,MALE,DIVORCED,45
Wt7b,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,MED,17,MALE,,41
